#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_index_message_delete;Are you sure that you want to delete this order?
sales_index_message_else;There are no orders
# End: Index
# Begin: Pending
sales_pending_button_all_orders;All orders
sales_pending_button_pending_orders;Pending orders
sales_pending_button_accepted_orders;Accepted orders
sales_pending_button_rejected_orders;Rejected orders

sales_pending_table_order_id;Order id
sales_pending_table_products_cost;Products Cost
sales_pending_table_discount;Discount
sales_pending_table_shipping_cost;Shipping Cost
sales_pending_table_total_cost;Total Cost
sales_pending_table_name;Name
sales_pending_table_order_date;Order Date
sales_pending_table_status;Status
sales_pending_table_action;Action

sales_pending_table_pending;Pending
sales_pending_table_accepted;Accepted
sales_pending_table_rejected;Rejected
sales_pending_table_details;Details
sales_pending_table_edit;Edit
sales_pending_table_delete;Delete

sales_pending_message_status_change;Are you sure that you want to change this order status?
sales_pending_message_delete;Are you sure that you want to delete this order?
sales_pending_message_else;There are no orders
# End: Pending
# Begin: Accepted
sales_accepted_button_all_orders;All orders
sales_accepted_button_pending_orders;Pending orders
sales_accepted_button_accepted_orders;Accepted orders
sales_accepted_button_rejected_orders;Rejected orders

sales_accepted_table_order_id;Order id
sales_accepted_table_products_cost;Products Cost
sales_accepted_table_discount;Discount
sales_accepted_table_shipping_cost;Shipping Cost
sales_accepted_table_total_cost;Total Cost
sales_accepted_table_name;Name
sales_accepted_table_order_date;Order Date
sales_accepted_table_status;Status
sales_accepted_table_action;Action

sales_accepted_table_pending;Pending
sales_accepted_table_accepted;Accepted
sales_accepted_table_rejected;Rejected
sales_accepted_table_details;Details
sales_accepted_table_edit;Edit
sales_accepted_table_delete;Delete

sales_accepted_message_status_change;Are you sure that you want to change this order status?
sales_accepted_message_delete;Are you sure that you want to delete this order?
sales_accepted_message_else;There are no orders
# End: Accepted
# Begin: Rejected
sales_rejected_button_all_orders;All orders
sales_rejected_button_pending_orders;Pending orders
sales_rejected_button_accepted_orders;Accepted orders
sales_rejected_button_rejected_orders;Rejected orders

sales_rejected_table_order_id;Order id
sales_rejected_table_products_cost;Products Cost
sales_rejected_table_discount;Discount
sales_rejected_table_shipping_cost;Shipping Cost
sales_rejected_table_total_cost;Total Cost
sales_rejected_table_name;Name
sales_rejected_table_order_date;Order Date
sales_rejected_table_status;Status
sales_rejected_table_action;Action

sales_rejected_table_pending;Pending
sales_rejected_table_accepted;Accepted
sales_rejected_table_rejected;Rejected
sales_rejected_table_details;Details
sales_rejected_table_edit;Edit
sales_rejected_table_delete;Delete

sales_rejected_message_status_change;Are you sure that you want to change this order status?
sales_rejected_message_delete;Are you sure that you want to delete this order?
