#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
sales_index_button_pending_orders;Comenzi în aşteptare
sales_index_button_accepted_orders;Comenzi acceptate
sales_index_button_completed_orders;Comenzi finalizate
sales_index_button_rejected_orders;Comenzi respinse

sales_index_table_order_id;Comanda nr.
sales_index_table_products_cost;Costul produselor
sales_index_table_discount;Reducere
sales_index_table_shipping_cost;Cost transport
sales_index_table_total_cost;Cost total
sales_index_table_name;Nume
sales_index_table_order_date;Data comenzii
sales_index_table_status;Status
sales_index_table_action;Acţiuni

sales_index_table_pending;in aşteptare
sales_index_table_accepted;acceptată
sales_index_table_completed;finalizată
sales_index_table_rejected;respinsă
sales_index_table_card_unconfirmed;card neconfirmat
sales_index_table_card_confirmed;card confirmat
sales_index_table_details;Detalii
sales_index_table_edit;Modifică
sales_index_table_delete;Sterge

sales_index_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul comenzii?
sales_index_message_delete;Sunteţi sigur că doriţi să stergeţi această comandă?
sales_index_message_else;Nu există comenzi
# End: Index
# Begin: Pending
sales_pending_button_all_orders;Toate comenzile
sales_pending_button_pending_orders;Comenzi în aşteptare
sales_pending_button_accepted_orders;Comenzi acceptate
sales_pending_button_rejected_orders;Comenzi respinse

sales_pending_table_order_id;Comanda nr.
sales_pending_table_products_cost;Costul produselor
sales_pending_table_discount;Reducere
sales_pending_table_shipping_cost;Cost transport
sales_pending_table_total_cost;Cost total
sales_pending_table_name;Nume
sales_pending_table_order_date;Data comenzii
sales_pending_table_status;Status
sales_pending_table_action;Acţiuni

sales_pending_table_pending;in aşteptare
sales_pending_table_accepted;acceptată
sales_pending_table_rejected;respinsă
sales_pending_table_details;Detalii
sales_pending_table_edit;Modifică
sales_pending_table_delete;Sterge

sales_pending_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul comenzii?
sales_pending_message_delete;Sunteţi sigur că doriţi să stergeţi această comandă?
sales_pending_message_else;Nu există comenzi
# End: Pending
# Begin: Accepted
sales_accepted_button_all_orders;Toate comenzile
sales_accepted_button_pending_orders;Comenzi în aşteptare
sales_accepted_button_accepted_orders;Comenzi acceptate
sales_accepted_button_rejected_orders;Comenzi respinse

sales_accepted_table_order_id;Comanda nr.
sales_accepted_table_products_cost;Costul produselor
sales_accepted_table_discount;Reducere
sales_accepted_table_shipping_cost;Cost transport
sales_accepted_table_total_cost;Cost total
sales_accepted_table_name;Nume
sales_accepted_table_order_date;Data comenzii
sales_accepted_table_status;Status
sales_accepted_table_action;Acţiuni

sales_accepted_table_pending;in aşteptare
sales_accepted_table_accepted;acceptată
sales_accepted_table_rejected;respinsă
sales_accepted_table_details;Detalii
sales_accepted_table_edit;Modifică
sales_accepted_table_delete;Sterge

sales_accepted_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul comenzii?
sales_accepted_message_delete;Sunteţi sigur că doriţi să stergeţi această comandă?
sales_accepted_message_else;Nu există comenzi
# End: Accepted
# Begin: Rejected
sales_rejected_button_all_orders;Toate comenzile
sales_rejected_button_pending_orders;Comenzi în aşteptare
sales_rejected_button_accepted_orders;Comenzi acceptate
sales_rejected_button_rejected_orders;Comenzi respinse

sales_rejected_table_order_id;Comanda nr.
sales_rejected_table_products_cost;Costul produselor
sales_rejected_table_discount;Reducere
sales_rejected_table_shipping_cost;Cost transport
sales_rejected_table_total_cost;Cost total
sales_rejected_table_name;Nume
sales_rejected_table_order_date;Data comenzii
sales_rejected_table_status;Status
sales_rejected_table_action;Acţiuni

sales_rejected_table_pending;in aşteptare
sales_rejected_table_accepted;acceptată
sales_rejected_table_rejected;respinsă
sales_rejected_table_details;Detalii
sales_rejected_table_edit;Modifică
sales_rejected_table_delete;Sterge

sales_rejected_message_status_change;Sunteţi sigur că doriţi să modificaţi statusul comenzii?
sales_rejected_message_delete;Sunteţi sigur că doriţi să stergeţi această comandă?
sales_rejected_message_else;Nu există comenzi
# End: Rejected
# Begin: Details
sales_details_title_billing;Facturare
sales_details_title_shipping;Livrare
sales_details_title_informations;Informaţii
sales_details_title_comments;Comentarii
sales_details_title_products;Produse

sales_details_table_company;Compania
sales_details_table_fiscal_code;Cod fiscal
sales_details_table_trade_register;Registrul comerţului
sales_details_table_bank;Banca
sales_details_table_iban_code;Cont IBAN
sales_details_table_function;Funcţia
sales_details_table_department;Departament

sales_details_table_name;Nume
sales_details_table_cnp;CNP
sales_details_table_serie;Serie buletin
sales_details_table_address;Adresa
sales_details_table_country;Tara
sales_details_table_county;Judet
sales_details_table_city;Oraş
sales_details_table_zip;Cod poştal
sales_details_table_phone;Telefon
sales_details_table_phone_2;Telefon 2
sales_details_table_fax;Fax
sales_details_table_email;Email

sales_details_table_order_id;Comanda nr.
sales_details_table_products_cost;Costul produselor
sales_details_table_vat;TVA
sales_details_table_tax;Taxa
sales_details_table_discount;Reducere
sales_details_table_repayment;Ramburs
